id,process_date,avg_price,min_price,max_price
135,20210517,5263111000000000000000,4099000000000000000000,8000000000000000000000
136,20210518,4340286000000000000000,4100000000000000000000,4809000000000000000000
137,20210519,5032875000000000000000,4099000000000000000000,5999000000000000000000
138,20210520,4707000000000000000000,4188000000000000000000,6999000000000000000000
139,20210521,6224250000000000000000,4000000000000000000000,9999000000000000000000
140,20210522,7891250000000000000000,14700000000000000000000,6666000000000000000000
141,20210523,7152467000000000000000,12900000000000000000000,9800000000000000000000
142,20210524,4768571000000000000000,4000000000000000000000,5950000000000000000000
143,20210525,5309333000000000000000,4350000000000000000000,7480000000000000000000
144,20210526,11987250000000000000000,34000000000000000000000,5100000000000000000000
145,20210527,4893333000000000000000,4100000000000000000000,6000000000000000000000
146,20210528,5611600000000000000000,4200000000000000000000,7900000000000000000000
147,20210529,4929333000000000000000,4790000000000000000000,4999000000000000000000
148,20210530,4563333000000000000000,4300000000000000000000,5000000000000000000000
149,20210531,5704625000000000000000,4684000000000000000000,6899000000000000000000
150,20210601,4649750000000000000000,4199000000000000000000,5000000000000000000000
151,20210602,6148000000000000000000,3995000000000000000000,7500000000000000000000
152,20210603,5924500000000000000000,4900000000000000000000,6949000000000000000000
153,20210604,5544750000000000000000,4480000000000000000000,6999000000000000000000
154,20210605,5911833000000000000000,4970000000000000000000,7300000000000000000000
155,20210606,6223500000000000000000,4980000000000000000000,7950000000000000000000
156,20210607,6304714000000000000000,4899000000000000000000,7800000000000000000000
157,20210608,7597667000000000000000,15000000000000000000000,7998000000000000000000
158,20210609,5711000000000000000000,10900000000000000000000,6395000000000000000000
159,20210610,6652900000000000000000,14994000000000000000000,8888000000000000000000
160,20210611,5492500000000000000000,4555000000000000000000,9000000000000000000000
161,20210612,5835400000000000000000,4800000000000000000000,7420000000000000000000
162,20210613,6373714000000000000000,11888000000000000000000,6995000000000000000000
163,20210614,16778250000000000000000,4700000000000000000000,9800000000000000000000
164,20210615,7058143000000000000000,11667000000000000000000,7999000000000000000000
165,20210616,5338000000000000000000,4420000000000000000000,6994000000000000000000
166,20210617,6787250000000000000000,12500000000000000000000,5200000000000000000000
167,20210618,6271200000000000000000,10995000000000000000000,5500000000000000000000
168,20210619,5035000000000000000000,4420000000000000000000,5650000000000000000000
169,20210620,7319000000000000000000,4750000000000000000000,9888000000000000000000
170,20210621,4526667000000000000000,4500000000000000000000,4580000000000000000000
171,20210622,5964375000000000000000,4800000000000000000000,8888000000000000000000
172,20210623,7046769000000000000000,12000000000000000000000,7999000000000000000000
173,20210624,6070800000000000000000,4988000000000000000000,9499000000000000000000
174,20210625,8391750000000000000000,12000000000000000000000,9400000000000000000000
175,20210626,8500000000000000000000,8500000000000000000000,8500000000000000000000
176,20210627,5927286000000000000000,4917000000000000000000,8200000000000000000000
177,20210628,6306167000000000000000,4925000000000000000000,7500000000000000000000
178,20210629,6834333000000000000000,10695000000000000000000,4909000000000000000000
179,20210630,5814750000000000000000,4910000000000000000000,6397000000000000000000
180,20210701,6795333000000000000000,5888000000000000000000,7499000000000000000000
181,20210702,8767750000000000000000,10000000000000000000000,8662000000000000000000
182,20210703,7191333000000000000000,12000000000000000000000,8000000000000000000000
183,20210704,6723500000000000000000,4900000000000000000000,9999000000000000000000
184,20210705,5925333000000000000000,4880000000000000000000,6997000000000000000000
185,20210706,11899000000000000000000,11899000000000000000000,11899000000000000000000
186,20210707,8249500000000000000000,6500000000000000000000,9999000000000000000000
187,20210708,5662000000000000000000,4999000000000000000000,7000000000000000000000
188,20210710,5749000000000000000000,5498000000000000000000,6000000000000000000000
189,20210711,7249000000000000000000,5499000000000000000000,8999000000000000000000
190,20210712,5965667000000000000000,5799000000000000000000,6299000000000000000000
